講演 ID	開始位置	連番	音声のタイプ	コア	前文脈	キ	後文脈	語彙素読み	語彙素	語彙素細分類	語形	品詞	活用型	活用形	書字形	発音形出現形	発音	語種	講演者 ID	性別	収録時の年齢	生年代	反転前文脈
A01F0034	23380	13200	独話・学会	非コア・人手修正	ではないかと#でその結果としてコミュニケションとしてはえ物理的にはうあの効率が変わるからはでえ主観的にはそのし易さが変わるからとやり易い距離というのんが調整されているのではないかという風にえ考えました#ということで本研究の目的として#えあっホルが観察えした対人距離というのはえとまあの大方その会話時のものですから音声によるコミュニケションに注目いたしまして#その対人距離の取られ方を社会心理的要因からではなくてコミュニケションの物理的なし易さから何か説明できるかどうかについてえとえ検討するということを目的として実験を行ないました#でその方法です#えと先程のホルの分類にじゅえ準じた四つの距離でと被験者二名の被験者に対面していただき#で一分間言葉をやり取りするということをえと行なわせました#でえその際各対人距離における呼応数それからやり取りのし易さの主観的評価えを測定いたしました#えなおえっと発声の長さとか発声間の間隔声の音圧レベルなども測定いたしましたが#今回はあのこの二点について御報告させていただきたいと思います#え被験者は日本語を母国語とする健康な	大学	生三十二名え男女同数えと集めました#でえ知人同士と二人一組みになっていただき#でその内訳は男性男性女性ど女性男性女性女性男性それぞれ四組といたしました#で場所はと簡易半無響室で行ないました#でその実験課題ですけれども#えとうう二つ要因を設定いたしまして#と環境条件として#え一つはえまずま普通にその電気の付いてる明るい部屋の状態で対面者が見える状態でやり取りを行なっていただくと#でえもう一つはと部屋を真っ暗にいたしまして声のみの手掛かりでとやり取りを行なっていただくということに#あ二条件えにゃえ二水準え設定いたしました#で作業条件として#えいんえとやり取りをこの日常え自分達が喋っているのどういうにと同じ無理のないやり易いペスでそのえ一番やり易いと思うペスでやり取りをしていただくと#それからもう一つは一分間の間できるだけたくさんやり取りを行なう#というえと二条件設定いたしました#でこれらのじえ組み合わせについてえ四つのたい対人距離零．五メトル一メトル二メトル四メトルの間隔でこの対面させて#で被験者Ａだでこの人の発話はあに限定しました#でえっと被験者Ｂこちらはうんという言葉を言ってもらうということで#とこちらが	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	465	女	35-39歳	1960-64年	な康健るすと語国母を語本日は者験被えすまい思といたきだたいてせ
A01F0063	30	20	独話・学会	非コア・人手修正	上智	大学	の×××××です#×××××××××××××について調査したのでそれについて発表させていただきます#現在話者認識に対するさまざまな研究がされていますが#ピッチとスペクトラスペクトル包絡を近似的に分離できるとしてケプストラムが注目されています#このケプストラムという特徴量を時間的に見た時にその時間変化自体もある固有の周波数特性を持って変化しています#本研究ではケプストラムの時間軌跡に対するフリエ変換即ちケプストラムの変調スペクトルについて注目し研究を行ないました#具体的には音声を時間方向にフレム分けしそれぞれのフレムでＭＦＣＣを求めます#そのＭＦＣＣをこの図よんこの図のようにフレムごとに時間方向に並べるとケプストラム係数の時間変化自身であるこの波形もある固有の周波数特性を持っていることが分かりました#この時間軌跡を更に周波数分析したものが変調スペクトルですが#本実験ではこの時間軌跡波形をフィルタリングして話者情報に有益な部分を見つけることを目的としています#変調スペクトルは非常に有益な物理的特徴であり変調スペクトルに関するさまざまな研究が行なわれています#話者認識に関しては千九百九十八年ＩＣＳＬＰのバンビュレンら千九百九十九年音響学会の金寺らによる報告があります#バンビュレンらは自動話者	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	467	女	20-24歳	1975-79年	智上
A01F0063	9740	5690	独話・学会	非コア・人手修正	は千九百九十八年ＩＣＳＬＰのバンビュレンら千九百九十九年音響学会の金寺らによる報告があります#バンビュレンらは自動話者認識を行ないその結果零．一から十ヘルツの変調周波数帯に重要な話者情報が含まれていると報告しています#一方金寺らはＭＦＣＣとピッチを用いて分析合成をした話者認識知覚実験を行ないその結果二から八ヘルツの変調周波数帯に重要な話者情報が含まれていると報告しています#この研究では駆動信号として元の音声から得られたピッチ情報に基づくパルスを使用しています#ところでピッチは有益な物理的特徴量の一つでピッチ情報だけでもかなりの話者情報を含んでいることから金寺らの行なった実験結果にはピッチ情報による影響が含まれている可能性があります#そこで本実験では金寺らの実験を拡張してピッチ情報の影響を受けずに話者じょ話者認識において重要な変調周波数帯を調べることを目的としました#その為駆動信号として元の音声のピッチ情報を用いずに白色雑音のみを駆動源として音声を再合成し知覚実験を行ないました#知覚実験をするにあたりまず識別対象音声となる原音声の録音をしました#識別対象話者は上智	大学	理工学部電気電子工学科の教員五人被験者は日頃からよく教員の声を聞いている同じく上智大学理工学部電気電子工学科の学生二十八人にお願いしました#この表のような録音状況下で防音室の中で教員のお音声を録音しました#一人当たり十五文ずつ発声していただき十五文掛ける五人合計七十五文をＤＡＴデジタルオディオテプに録音し#更にコンピュタにサンプリング周波数十六キロヘルツで記録しました#録音した原音声に次のダイヤグラムに示す分析合成を行ない色々な変調周波数成分を持つ音声を生成しました#まず原音声より窓長二十五ミリセカンドのブラックマン窓を用いて十二次のＭＦＣＣを五ミリセカンドごとに求めました#次にＭＦＣＣの時間軌跡を五百十一点のバンドパスフィルタにより時間方向にフィルタリングしある範囲の変調周波数成分のみを抽出しました#使用したフィルタは低域遮断周波数ゼロ零．五一二四八十六ヘルツ高域遮断周波数を零．五一二四八十六ナイキスト周波数とした全ての組み合わせ二十八種類の線形位相ＦＩＲバンドパスフィルタです#更にフィルタリング後のＭＦＣＣに対し駆動信号として白色雑音用いて音声を合成しました#教員が発声した十五文を示します#提示文にはＢ一からＢ十二を使用	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	467	女	20-24歳	1975-79年	智上は者話象対別識たしましを音録の声音原るなと声音象対別識ずまりたあ
A01F0063	10170	5960	独話・学会	非コア・人手修正	ます#バンビュレンらは自動話者認識を行ないその結果零．一から十ヘルツの変調周波数帯に重要な話者情報が含まれていると報告しています#一方金寺らはＭＦＣＣとピッチを用いて分析合成をした話者認識知覚実験を行ないその結果二から八ヘルツの変調周波数帯に重要な話者情報が含まれていると報告しています#この研究では駆動信号として元の音声から得られたピッチ情報に基づくパルスを使用しています#ところでピッチは有益な物理的特徴量の一つでピッチ情報だけでもかなりの話者情報を含んでいることから金寺らの行なった実験結果にはピッチ情報による影響が含まれている可能性があります#そこで本実験では金寺らの実験を拡張してピッチ情報の影響を受けずに話者じょ話者認識において重要な変調周波数帯を調べることを目的としました#その為駆動信号として元の音声のピッチ情報を用いずに白色雑音のみを駆動源として音声を再合成し知覚実験を行ないました#知覚実験をするにあたりまず識別対象音声となる原音声の録音をしました#識別対象話者は上智大学理工学部電気電子工学科の教員五人被験者は日頃からよく教員の声を聞いている同じく上智	大学	理工学部電気電子工学科の学生二十八人にお願いしました#この表のような録音状況下で防音室の中で教員のお音声を録音しました#一人当たり十五文ずつ発声していただき十五文掛ける五人合計七十五文をＤＡＴデジタルオディオテプに録音し#更にコンピュタにサンプリング周波数十六キロヘルツで記録しました#録音した原音声に次のダイヤグラムに示す分析合成を行ない色々な変調周波数成分を持つ音声を生成しました#まず原音声より窓長二十五ミリセカンドのブラックマン窓を用いて十二次のＭＦＣＣを五ミリセカンドごとに求めました#次にＭＦＣＣの時間軌跡を五百十一点のバンドパスフィルタにより時間方向にフィルタリングしある範囲の変調周波数成分のみを抽出しました#使用したフィルタは低域遮断周波数ゼロ零．五一二四八十六ヘルツ高域遮断周波数を零．五一二四八十六ナイキスト周波数とした全ての組み合わせ二十八種類の線形位相ＦＩＲバンドパスフィルタです#更にフィルタリング後のＭＦＣＣに対し駆動信号として白色雑音用いて音声を合成しました#教員が発声した十五文を示します#提示文にはＢ一からＢ十二を使用しています#それぞれの文に対して二十八種類のフィルタを通している為条件は全部で五人の	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	467	女	20-24歳	1975-79年	智上くじ同るいてい聞を声の員教くよらか頃日は者験被人五員教の科
A01F0085	14730	8950	独話・学会	非コア・人手修正	の飴えっとキャンディの飴レンの雨の三種類に聞こえるか確かめた上でランダムに提示して同定実験を行ないそれぞれの音としてえ最も同定率の高かった音声即ち語末が百七十五ヘルツ百三十五ヘルツ八十五ヘルツで終わるものを脳磁図による計測のえ刺激音声として用いました#え各被験者は無視課題と注意課題の二つのタスクの実験に参加していただきました#実験の一試行中にはオッドボル課題に準じ疑問の飴キャンディの飴レンの雨の三つの刺激音声を八対一対一の割合でランダムに提示しました#無視課題ではこのような試行を高頻度刺激の種類を変えて三回各被験者に対して行ないました#注意課題では計四試行行なったうち二試行において高頻度刺激をレンの雨とししそれぞれ疑問の飴とキャンディの飴の出現回数を数えてもらいました#他の二試行では疑問の飴およびキャンディの飴を高頻度刺激として無視課題と同じように特に注意を向けずに聞いてもらいました#え一実験の中では無視課題または注意課題のどちらかを行ない#また試行の提示順序はランダムに行ないました#被験者は健健常な東京方言話者八名でありいずれも右利きで二十代から三十代前半の	大学	生または大学院生でした#え計測にはニュロマグ社製百二十二チャンネル全頭型脳磁界計測装置を用いました#解析方法について述べます#え計測により得られたデタを複数電流双極子モデルを使用して分析し各試行の組み合わせにおけるミスマッチ磁界を解析しました#無視課題ではイントネションの違いの検出がミスマッチ磁界を誘発する場合えこのキャンディのクエスチョンとステトメントと語アクセントによって意味が異なる場合キャンディとんレンとイントネションも語アクセントも異なる場合これは飴と雨です#ですえそれぞれにおきましえそれぞれにおきましてあ無視課題ではそれぞれを解析いたしました#それで注意課題では語アクセントが異なる場合とイントネション語アクセントが両方異なる場合においてそれぞれ潜時百五十から二百五十ミリセカンドの間におけるピク潜時のモメントの大きさを求めました#え典型的な反応を示した一被験者の音声開始後二百七十三ミリセカンドでの解析結果をＭＲＩ画像上に重ね合わせたものをＯＨＰに示しています#え各被験者で平均して第一音節のオンセットから潜時二百七十ミリセカンド付近に両半球共ピクが観察されました#えこの潜時は被験者によって二百七十から三百四十ミリセカンドの範囲に分布し左右の有意な差は見られませんでした#え左半球えこちらが鼻側です#左	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	84	女	20-24歳	1975-79年	の半前代十三らか代十二でき利右もれずいりあで名八者話言方京東な常健
A01F0085	14790	8990	独話・学会	非コア・人手修正	の飴レンの雨の三種類に聞こえるか確かめた上でランダムに提示して同定実験を行ないそれぞれの音としてえ最も同定率の高かった音声即ち語末が百七十五ヘルツ百三十五ヘルツ八十五ヘルツで終わるものを脳磁図による計測のえ刺激音声として用いました#え各被験者は無視課題と注意課題の二つのタスクの実験に参加していただきました#実験の一試行中にはオッドボル課題に準じ疑問の飴キャンディの飴レンの雨の三つの刺激音声を八対一対一の割合でランダムに提示しました#無視課題ではこのような試行を高頻度刺激の種類を変えて三回各被験者に対して行ないました#注意課題では計四試行行なったうち二試行において高頻度刺激をレンの雨とししそれぞれ疑問の飴とキャンディの飴の出現回数を数えてもらいました#他の二試行では疑問の飴およびキャンディの飴を高頻度刺激として無視課題と同じように特に注意を向けずに聞いてもらいました#え一実験の中では無視課題または注意課題のどちらかを行ない#また試行の提示順序はランダムに行ないました#被験者は健健常な東京方言話者八名でありいずれも右利きで二十代から三十代前半の大学生または	大学	院生でした#え計測にはニュロマグ社製百二十二チャンネル全頭型脳磁界計測装置を用いました#解析方法について述べます#え計測により得られたデタを複数電流双極子モデルを使用して分析し各試行の組み合わせにおけるミスマッチ磁界を解析しました#無視課題ではイントネションの違いの検出がミスマッチ磁界を誘発する場合えこのキャンディのクエスチョンとステトメントと語アクセントによって意味が異なる場合キャンディとんレンとイントネションも語アクセントも異なる場合これは飴と雨です#ですえそれぞれにおきましえそれぞれにおきましてあ無視課題ではそれぞれを解析いたしました#それで注意課題では語アクセントが異なる場合とイントネション語アクセントが両方異なる場合においてそれぞれ潜時百五十から二百五十ミリセカンドの間におけるピク潜時のモメントの大きさを求めました#え典型的な反応を示した一被験者の音声開始後二百七十三ミリセカンドでの解析結果をＭＲＩ画像上に重ね合わせたものをＯＨＰに示しています#え各被験者で平均して第一音節のオンセットから潜時二百七十ミリセカンド付近に両半球共ピクが観察されました#えこの潜時は被験者によって二百七十から三百四十ミリセカンドの範囲に分布し左右の有意な差は見られませんでした#え左半球えこちらが鼻側です#左半球では各	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	84	女	20-24歳	1975-79年	はたま生学大の半前代十三らか代十二でき利右もれずいりあで名八者話
A01M0017	50	30	独話・学会	非コア・人手修正	え東北	大学	電気通信研究所の×××です#え××××××××××××××××××××××××××××というタイトルで発表いたします#えまず研究の背景について簡単に説明いたします#え我々はどうず同時に複数の音を普段聞いている訳でして#このような複数音の知覚においては二つの大きな傾向が見られます#で一つはえパティ会場のような騒がしい場所での特定のおちょ音の聴取でこれは俗にカクテルパティ効果と呼ばれているん現象です#でこの場合にはその聞き取るべき聞きたい音に対する積極的な注意を行なっていると考えられます#一方え騒がしい場所例えば駅の前駅前広場で待ち合わせをしている時など突然自分の名前をう呼ぶ声を瞬時に認識できるという傾向もあります#でこの場合には特別注意をしていなくても瞬時に認識ができます#でこのような違いを踏まえまして#本研究の立場を以下のように定義します#え音の知覚における注意の必要の有無というのがある意味人間の知覚認識系の構造を反映しているものであると考えます#でえこの注意の必要の有無を調べることによってちかちょ聴覚系の何らかの知識が得られないかということを検討していきます#でこの	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	435	男	20-24歳	1975-79年	北東え
A01M0035	28520	16580	独話・学会	非コア・人手修正	の有声ってありますけど#これはまあのあまり長くなけんああと取ればすそのそこの部分のその何て言うんでしょうか#歪みが起きませんからえあえいえそういう方がいいとかあるいはえと繋がる繋がり易さってことから考えると単位ん間がその重なってた方がいいということでま幾つかのそのヒュリスティクス挙げた訳ですね#でこれに基づいて選ぶというようなことをしてた訳ですけど#これあの種明かしますと#どっから来たのかっていうことをまずお話しするとですね実はあの形態素解析が元のアイデアだったんですね#これテキストテキストからのその音音声合成考えてた時にまテキスト日本語のテキストが与えられてそれに基づいて何か合成する時にまずその単語をあのアイデンティファイしないとあの色んな処理できませんのでえ当時その色々なこうまラティスこういうあの候補をみんな挙げてですねこん中で一番それらしい尤もらしいま何か関数を定義して選ぶといってたあ方法取ってたんですけど#まこれに思い付いてこれをまはあの単位のバジョンでやったというのがえ十年前のあのこういうもんの取っ掛かりです#であのま当然のことながらこう色んなヒュリスティクス使いますと#ま当時はそのエキスパトシステムなんかだいぶ盛んであの今あのん名古屋	大学	です#あの助教授されてる武田先生なんかがあの知識ベスに基づいたこういうその選択をやるとかですねあのまあの元のアイデアがあの色々なヒュリスティクスを使ってある合成をするということでやってましたのであのまそい今今でもかなりこういう形でやってらっしゃる方いるんですけど#えと我々このこの後悩んできたこの十年近くのものがうまく伝わってないなという気も実はしててあの今日はすそれもちょっとお話ししたいんですが#あのこういうヒュリスティクスを入れるということは例えばその形態素解析の部分でもやあの長単位の一致ですとか文節数最小とかですね色んなヒュリスティクス入れて今でもやられてると思うんですね#ただあのおっきな意味でそれはあの間違いでないし#あの最後の手段で全部入れるべきなんですけども#ポイントはそういうあの何て言うんでしょうか#え得体の知れないって言い方言うと悪いんですけど#色んなものを入れるとですね最終的な時点でのオプティミゼションには絶対入れなきゃいけないんですけども#途中であんまり入れ入れ込むと自分らがその今何を基準にしてどういうそのあのものをえまコストファンクションて言うか最小化する#あるいはそのそれに基づいてオプティマイズするとしてんのかということが分からなくなる訳ですね	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	48	男	45-49歳	1950-54年	屋古名んのあ今のあでん盛ぶいだかんなムテスシトパスキエのそは時当まとすまい使スクィテスリュヒなん色
A01M0062	60	40	独話・学会	非コア・人手修正	え東京理科	大学	××研究室の××××です#×××××××××××××××××××××××と題しまして#文章朗読における休止の挿入を幾つかの要因について分析した結果を用いましてきそっかし規則化した結果について発表いたします#とまず休止は音声の了解度および自然性に重要な役割を果たすもんでございむありますが#文章朗読における休止の生起はテキストの統語構造や意味話者の呼吸上の制約により影響を受けます#と本研究ではテキストからんの音声合成に利用する為に休止のえ休止の生起位置やんつえ生起確率持続時間の決定を規則化することを目的としております#それでここでは休止の生起確率を幾つかの要因からなる数式によって表現しまして#休止の挿入を規則化し評価した結果またその規則を改良した結果について発表いたします#えまず我々の定義我々の定義による文章と発話の構成単位について説明いたしますよん文字言語にはまずえっと文章らん段落文句といった単位がありますが#音声言語ではこれに相当するものとしましてん文章に含まれる発話の構成単位をまず談話としまして文章に含まれる発話んいっああすいません#談話に含まれる段落発話と段落間休止更に	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	408	男	25-29歳	1975-79年	科理京東え
A01M0069	60	40	独話・学会	非コア・人手修正	え東京工業	大学	のえ××××と申します#え××××××××××××××××××××××××××についてえせえ説明したいと思います#えではまずえ研究の背景と目的です#えちょっえ現在ええ背景に雑音や音楽が乗った音声に対してえ認識性能の向上を上げている技術としてえＨＭＭ合成法えピＰＭＣ法があります#えこれはえ音声ＨＭＭとえ雑音ＨＭＭからえ雑音のええ重畳したＨＭＭをえ合成する手法となっていますが#えこの手法この手法ではえすこの線形スペクトラムふすゆうしすかえ線形スペクトラム領域でのえくえでえ音声および雑音のえ加算を行なう為にえＨＭＭがえケプストラム係数で表わされている場合えこのようなえ領域変換がさっくんえりょ避けられずえこの為のえ計算時間の増大が避けられませんでした#えそこでえ本研究ではえこのえ領域変換えおよびえ線形スペクトラム領域でのえ加算というえ一連のえ非線形な演算をえニュラルネットワクでえ実現することでえ計算時間のえ削減をひゃ図りました#あ図ることを目的といたしました#えではえ実際にそのニュラルネットワクをえ用いたえ本手法について説明したいと思います#え本手法ではニュラルネットワクをもちいり用いていいる為にえまずえニュラルネットワクの	ダイガク	大学		ダイガク	名詞-普通名詞-一般			大学	ダイガク	ダイガク	漢	414	男	20-24歳	1975-79年	業工京東え
